Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization,Confidence,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Organization categorization (from Organization),Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
DNCON2,Biology,"Proteins,Protein folding prediction",University of Missouri,"Badri Adhikari, Jie Hou, Jianlin Cheng",2018-05-01,DNCON2: improved protein contact prediction using two-level deep convolutional neural networks,https://academic.oup.com/bioinformatics/article/34/9/1466/4708303?login=false,173.00,,,,,95000000000000000.00,"""Our training was conducted on Tesla K20 Nvidia GPUs each having 5 GB of GPU memory, on which, training one model took around 12 h.""

""We train each CNN for a total of 1600 epochs with each epoch of training taking around 2 min.""

Assumptions:
peakFLOP rate 3.52e12FLOP/s (from: https://www.techpowerup.com/gpu-specs/tesla-k20c.c564)
30% utilization rate
1 GPU

Estimate 1: ""training one model took around 12h"" => unclear how many GPUs
(12 *3600) s * 3.52e12 FLOP/s * 0.3 = 4.5e16 FLOP

Estimate 2: ""We train each CNN for a total of 1600 epochs with each epoch of training taking around 2 min.""
(1600 epochs * 2 min/epoch * 60 s/min) * 3.52e12 FLOP/s * 0.3 =  2e17 FLOP

Geometric mean: 9.5e16",PDB (Protein Data Bank),"""We used the original DNCON dataset consisting of 1426 proteins having length between 30 and 300 residues curated before the CASP10 experiment to train and test DNCON2. The protein structures in the dataset were obtained from the Protein Data Bank (PDB)""",1426,"""Our raw feature files for all 1426 training proteins""",1600.00,12.0,"""training one model took around 12 h""",,,,,"Motivation
Significant improvements in the prediction of protein residue–residue contacts are observed in the recent years. These contacts, predicted using a variety of coevolution-based and machine learning methods, are the key contributors to the recent progress in ab initio protein structure prediction, as demonstrated in the recent CASP experiments. Continuing the development of new methods to reliably predict contact maps is essential to further improve ab initio structure prediction.

Results
In this paper we discuss DNCON2, an improved protein contact map predictor based on two-level deep convolutional neural networks. It consists of six convolutional neural networks—the first five predict contacts at 6, 7.5, 8, 8.5 and 10 Å distance thresholds, and the last one uses these five predictions as additional features to predict final contact maps. On the free-modeling datasets in CASP10, 11 and 12 experiments, DNCON2 achieves mean precisions of 35, 50 and 53.4%, respectively, higher than 30.6% by MetaPSICOV on CASP10 dataset, 34% by MetaPSICOV on CASP11 dataset and 46.3% by Raptor-X on CASP12 dataset, when top L/5 long-range contacts are evaluated. We attribute the improved performance of DNCON2 to the inclusion of short- and medium-range contacts into training, two-level approach to prediction, use of the state-of-the-art optimization and activation functions, and a novel deep learning architecture that allows each filter in a convolutional layer to access all the input features of a protein of arbitrary length.",Open weights (unrestricted),,Likely,United States of America,,,,,,Academia,Open source,license: https://github.com/multicom-toolbox/DNCON2?tab=GPL-3.0-1-ov-file#readme,Academia,,,,Hardware
DNABERT,Biology,Protein or nucleotide language model (pLM/nLM),Northeastern University,"Yanrong Ji, Zhihan Zhou, Han Liu, Ramana V Davuluri",2021-08-15,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,https://academic.oup.com/bioinformatics/article/37/15/2112/6128680,479.00,SOTA improvement,"""We show that the single pre-trained transformers model can simultaneously achieve state-of-the-art performance on prediction of promoters, splice sites and transcription factor binding sites, after easy fine-tuning using small task-specific labeled data."" [Abstract] - SOTA improvement on very specific task",110000000.00,"""We used the same model architecture as the BERT base, which consists of 12 Transformer layers with 768 hidden units and 12 attention heads in each layer, and the same parameter setting across all the four DNABERT models during pre-training""

Known to have 110 million parameters as reported in: https://arxiv.org/pdf/1810.04805v2.pdf
""We primarily report results on two model sizes: BERTBASE (L=12, H=768, A=12, Total Parameters=110M) [...]""",107000000000000020000.00,"""Since the pre-training of DNABERT model is resource-intensive (about 25 days on 8 NVIDIA 2080Ti GPUs)""

Assuming FP16 and 30% utilization

Calculation = (25 * 24 *3600) s * 2.7e13 FLOP/s per GPU * 8 GPUs * 0.3 utilization = 1.4e20 FLOP

Alternatively:
""DNABERT takes a sequence with a max length of 512 as input... We pre-trained DNABERT for 120k steps with a batch size of 2000""
6 * 512 * 2000 * 120k * 110M = 8.11e19

Geometric mean: 1.07e20",Human Reference Genome (GRCh38/hg38),"""We generated training data from human genome [...]"" [2.2.2 Pre-training]. ",3000000000,"The human genome is around 3 billion base pairs (https://useast.ensembl.org/Homo_sapiens/Info/Annotation).
The authors use both non-overlapping sampling and random sampling from a human genome, though the source is unspecified.",4.04,600.0,"""Since the pre-training of DNABERT model is resource-intensive (about 25 days on 8 NVIDIA 2080Ti GPUs)""",NVIDIA GeForce RTX 2080 Ti,,,,"Motivation
Deciphering the language of non-coding DNA is one of the fundamental problems in genome research. Gene regulatory code is highly complex due to the existence of polysemy and distant semantic relationship, which previous informatics methods often fail to capture especially in data-scarce scenarios.

Results
To address this challenge, we developed a novel pre-trained bidirectional encoder representation, named DNABERT, to capture global and transferrable understanding of genomic DNA sequences based on up and downstream nucleotide contexts. We compared DNABERT to the most widely used programs for genome-wide regulatory elements prediction and demonstrate its ease of use, accuracy and efficiency. We show that the single pre-trained transformers model can simultaneously achieve state-of-the-art performance on prediction of promoters, splice sites and transcription factor binding sites, after easy fine-tuning using small task-specific labeled data. Further, DNABERT enables direct visualization of nucleotide-level importance and semantic relationship within input sequences for better interpretability and accurate identification of conserved sequence motifs and functional genetic variant candidates. Finally, we demonstrate that pre-trained DNABERT with human genome can even be readily applied to other organisms with exceptional performance. We anticipate that the pre-trained DNABERT model can be fined tuned to many other sequence analyses tasks.",Open weights (unrestricted),,Confident,United States of America,,,,,,Academia,Open source,"Apache 2.0, code and weights: https://github.com/jerryji1993/DNABERT",Academia,,,,"Hardware,Operation counting"
ProteinBERT,Biology,"Proteins,Protein generation","Hebrew University of Jerusalem,Ben-Gurion University of the Negev,Deep Trading","Nadav Brandes, Dan Ofer, Yam Peleg, Nadav Rappoport, Michal Linial",2022-02-10,ProteinBERT: a universal deep-learning model of protein sequence and function,https://academic.oup.com/bioinformatics/article/38/8/2102/6502274,386.00,SOTA improvement,"""ProteinBERT obtains near state-of-the-art performance, and sometimes exceeds it, on multiple benchmarks covering diverse protein properties (including protein structure, post-translational modifications and biophysical attributes)""",16000000.00,"""Altogether, it includes ∼16M trainable parameters, making it substantially smaller than other protein language models""",65000000000000000000.00,"""Pretraining speed on a single GPU (Nvidia Quadro RTX 5000) was 280 protein records per second. We trained the model for 28 days over ∼670M records""

28 * 24 * 3600 * 89 TFLOP/s * 0.3 (assumed utilization) = 6.5e19
https://www.wolframalpha.com/input?i=28+days+*+89+TFLOP%2Fs+*+0.3",UniRef90,,32000000001,"Number of proteins: 106,000,000
Average protein length: 300 amino acids

Total unique tokens = 106,000,000 × 300 = 31,800,000,000 ≈ 3.2e10 tokens",6.40,672.0,28 days,NVIDIA Quadro RTX 5000,1,,,"Self-supervised deep language modeling has shown unprecedented success across natural language tasks, and has recently been repurposed to biological sequences. However, existing models and pretraining methods are designed and optimized for text analysis. We introduce ProteinBERT, a deep language model specifically designed for proteins. Our pretraining scheme combines language modeling with a novel task of Gene Ontology (GO) annotation prediction. We introduce novel architectural elements that make the model highly efficient and flexible to long sequences. The architecture of ProteinBERT consists of both local and global representations, allowing end-to-end processing of these types of inputs and outputs. ProteinBERT obtains near state-of-the-art performance, and sometimes exceeds it, on multiple benchmarks covering diverse protein properties (including protein structure, post-translational modifications and biophysical attributes), despite using a far smaller and faster model than competing deep-learning methods. Overall, ProteinBERT provides an efficient framework for rapidly training protein predictors, even with limited labeled data.",,,Confident,"Israel,United States of America,United States of America",,,,26008,"Supplementary materials: ""During pretraining we used batch sizes of 128, 64 or 32 for episodes of 128, 512 or 1,024 tokens, respectively"" Since they seem to be used in equal parts, taking geometric mean: ((128*128)*(64*512)*(32*1024))**(1/3) = 26,008","Academia,Academia,Industry",,,"Academia,Academia,Industry",,,511.39675520829087,Hardware
DistilProtBert,Biology,"Proteins,Protein folding prediction",Bar-Ilan University,"Yaron Geffen, Yanay Ofran, Ron Unger",2022-09-18,DistilProtBert: a distilled protein language model used to distinguish between real proteins and their randomly shuffled counterparts,https://academic.oup.com/bioinformatics/article/38/Supplement_2/ii95/6701995,23.00,,,230000000.00,"""we were able to reduce the number of DistilProtBert parameters by almost half, to 230 M""",190000000000000030000.00,"""Pretraining was done on five v100 32-GB Nvidia GPUs from a DGX
cluster with a local batch size of 16 examples... The model was trained for three epochs using mixed precision and dynamic padding. Every epoch run took approximately 4 days, resulting in total pretraining time of 12 days""

5 * 125 teraFLOP/s * 12 * 24 * 3600 * 0.3 (assumed utilization) = 1.9e20",UniRef50,"""DistilProtBert was pretrained on 43 M sequences from UniRef50 with length ranging from 20 to 512 amino acids""",13000000001,"43,000,000 sequences × 300 amino acids = 12,900,000,000 (1.29e10) data points

Calculation:
43,000,000 × 300 = 12,900,000,000",3.00,288.0,12 days,NVIDIA Tesla V100 DGXS 32 GB,,,Academia,"Recently, deep learning models, initially developed in the field of natural language processing (NLP), were applied successfully to analyze protein sequences. A major drawback of these models is their size in terms of the number of parameters needed to be fitted and the amount of computational resources they require. Recently, 'distilled' models using the concept of student and teacher networks have been widely used in NLP. Here, we adapted this concept to the problem of protein sequence analysis, by developing DistilProtBert, a distilled version of the successful ProtBert model. Implementing this approach, we reduced the size of the network and the running time by 50%, and the computational resources needed for pretraining by 98% relative to ProtBert model. Using two published tasks, we showed that the performance of the distilled model approaches that of the full model. We next tested the ability of DistilProtBert to distinguish between real and random protein sequences. The task is highly challenging if the composition is maintained on the level of singlet, doublet and triplet amino acids. Indeed, traditional machine-learning algorithms have difficulties with this task. Here, we show that DistilProtBert preforms very well on singlet, doublet and even triplet-shuffled versions of the human proteome, with AUC of 0.92, 0.91 and 0.87, respectively. Finally, we suggest that by examining the small number of false-positive classifications (i.e. shuffled sequences classified as proteins by DistilProtBert), we may be able to identify de novo potential natural-like proteins based on random shuffling of amino acid sequences.",,,Confident,Israel,,,,,,Academia,,,Academia,,,,Hardware
BERT-RBP,Biology,"Proteins,Protein interaction prediction",Waseda University,"Keisuke Yamada, Michiaki Hamada",2022-04-07,Prediction of RNA–protein interactions using a nucleotide language model,https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac023/6564689,36.00,SOTA improvement,"""Our model outperformed state-of-the-art prediction models using the eCLIP-seq data of 154 RBPs"" [Abstract] - SOTA improvement on a very specific task",110000000.00,"Base model is BERT base (110M parameters), pre-trained on human reference genome (DNABert: https://academic.oup.com/bioinformatics/article/37/15/2112/6128680)",140000000000000000000.00,"See DNABert entry:

""Since the pre-training of DNABERT model is resource-intensive (about 25 days on 8 NVIDIA 2080Ti GPUs)""

Assuming FP16 and 30% utilization

Calculation = (25 * 24 *3600) s * 2.7e13 FLOP/s per GPU * 8 GPUs * 0.3 utilization = 1.4e20 FLOP",RBPSuite,"See DNABert entry: ""We generated training data from human genome [...]"" [2.2.2 Pre-training]

""An eCLIP-seq dataset previously generated from the ENCODE3 database by Pan et al. (2020) was used. The original dataset consisted of 154 RBP sets with up to 60 000 positive RNA sequences that bind to the corresponding RBP and the same number of negative sequences."" [2.2 Data preparation]",78000001,"RBPs: 154
Sequences per RBP: 15,000
Total sequences = 154 × 15,000 = 2,310,000
Tokens per sequence = 34
Total tokens = 2,310,000 × 34 = 78,540,000
Final estimate: 7.8 × 10⁷ tokens",3.00,,,,,,,"Motivation
The accumulation of sequencing data has enabled researchers to predict the interactions between RNA sequences and RNA-binding proteins (RBPs) using novel machine learning techniques. However, existing models are often difficult to interpret and require additional information to sequences. Bidirectional encoder representations from transformer (BERT) is a language-based deep learning model that is highly interpretable. Therefore, a model based on BERT architecture can potentially overcome such limitations.

Results
Here, we propose BERT-RBP as a model to predict RNA–RBP interactions by adapting the BERT architecture pretrained on a human reference genome. Our model outperformed state-of-the-art prediction models using the eCLIP-seq data of 154 RBPs. The detailed analysis further revealed that BERT-RBP could recognize both the transcript region type and RNA secondary structure only based on sequence information. Overall, the results provide insights into the fine-tuning mechanism of BERT in biological contexts and provide evidence of the applicability of the model to other RNA-related problems.",Open weights (non-commercial),,Confident,Japan,DNABERT,22000000000000000,"""The models were trained on four NVIDIA Tesla V100 GPUs (128
GB memory). The training of one RBP model using 19 200 samples
took <10 min.""

Calculation assuming FP16 and 30% utlization and NVIDIA Tesla V100 SMX2 model: 
10 min * 60 sec/min * 3.1e13 FLOP/s * 4 GPU * 0.3 utilization = 2.2e16",,,Academia,Open (non-commercial),"No clear license: https://github.com/kkyamada/bert-rbp

train script: https://github.com/kkyamada/bert-rbp/blob/master/examples/run_finetune.py 

data also doesn't have a clear license: http://www.csbio.sjtu.edu.cn/bioinf/RBPsuite/dataset_new.html",Academia,,,,Hardware
AbLang (heavy sequences),Biology,Proteins,University of Oxford,"Tobias H Olsen, Iain H Moal, Charlotte M Deane",2022-01-22,AbLang: an antibody language model for completing antibody sequences,https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6609807,99.00,SOTA improvement,"""AbLang restores residues more accurately and faster than a current state-of-the-art protein language model ESM-1b, emphasizing the benefits and potential of an antibody specific language model"" - SOTA improvement for a very specific task",355000000.00,"""The hyperparameters were selected to be similar to those used
in the RoBERTa paper (Liu et al., 2019).""

Liu et al., 2019 link: https://arxiv.org/pdf/1907.11692.pdf
""We begin by training RoBERTa following the BERTLARGE architecture (L = 24, H = 1024, A = 16, 355M parameters)""",,,Observed Antibody Space (OAS) database,,2290000001,"Heavy Chain: 14,126,724 sequences × 160 residues = 2,260,275,840 datapoints
Light Chain: 187,068 sequences × 160 residues = 29,930,880 datapoints
Total: 2,260,275,840 + 29,930,880 = 2,290,206,720 datapoints (2.29B)",20.00,,,,,,,"Motivation
General protein language models have been shown to summarize the semantics of protein sequences into representations that are useful for state-of-the-art predictive methods. However, for antibody specific problems, such as restoring residues lost due to sequencing errors, a model trained solely on antibodies may be more powerful. Antibodies are one of the few protein types where the volume of sequence data needed for such language models is available, e.g. in the Observed Antibody Space (OAS) database.

Results
Here, we introduce AbLang, a language model trained on the antibody sequences in the OAS database. We demonstrate the power of AbLang by using it to restore missing residues in antibody sequence data, a key issue with B-cell receptor repertoire sequencing, e.g. over 40% of OAS sequences are missing the first 15 amino acids. AbLang restores the missing residues of antibody sequences better than using IMGT germlines or the general protein language model ESM-1b. Further, AbLang does not require knowledge of the germline of the antibody and is seven times faster than ESM-1b.",,,Confident,United Kingdom of Great Britain and Northern Ireland,,,,,,Academia,,,Academia,,,,
Evo,Biology,Protein or nucleotide language model (pLM/nLM),"Stanford University,University of California (UC) Berkeley,Together","Eric Nguyen, Michael Poli, Matthew G. Durrant, Armin W. Thomas, Brian Kang, Jeremy Sullivan, Madelena Y. Ng, Ashley Lewis, Aman Patel, Aaron Lou, Stefano Ermon, Stephen A. Baccus, Tina Hernandez-Boussard, Christopher Ré, Patrick D. Hsu, Brian L. Hie",2024-02-27,Sequence modeling and design from molecular to genome scale with Evo,"https://arcinstitute.org/news/blog/evo
https://www.biorxiv.org/content/10.1101/2024.02.27.582234v1",44.00,,Competitive with SOTA protein language models,7000000000.00,"Based on a StripedHyena architecture, context length of 131 kilobases",2.0000000001e+22,"""In total, Evo was trained on approximately 340B tokens, using approximately 2e22 FLOPS""",OpenGenome,"""We're also open-sourcing a large 300B token training dataset we compiled, which we call OpenGenome, consisting of 2.7M publicly available prokaryotic and phage genomes""",300000000000,"300 billion nucleotides. Since these are tokenized at the single-nucleotide level, 300B tokens.",1.00,2968.0,"Trained for first stage on 64 H100s, then for second stage on 128 A100s. Trained primarily with BF16 precision; FP32 used for ""long convolutional parameters"". I use BF16 performance for simplicity.

This gives a plausible range for completing 2e22 FLOPs.

If all 2e22 FLOPs were performed on H100s:
2e22 FLOP / (64 GPUs * 1.3e14 FLOP/GPU-sec) * 1/0.3 efficiency *  1/3600 hour/sec  = 2226 hours

If all 2e22 FLOPs were performed on A100s:
2e22 FLOP / (128 GPUs * 3.9e13 FLOP/GPU-sec) * 1/0.3 efficiency * 1/3600 hour/sec = 3710 hours

Assume each stage is roughly half the total time, so:
(2226+3710)/2 = 2968 hours","NVIDIA A100,NVIDIA H100 SXM5 80GB",,"""We trained Evo in stage 1 on 64 Nvidia H100 GPUs and on 128 Nvidia A100 GPUs in stage 2. In total, Evo was trained on approximately 340B tokens, using approximately 2e22 FLOPS""

This gives a plausible range for completing 2e22 FLOPs.

If all 2e22 FLOPs were performed on H100s:
2e22 FLOP / (1.3e14 FLOP/GPU-sec) * 1/0.3 efficiency *  1/3600 hour/sec * $1.69/GPU-hour = $240,741

If all 2e22 FLOPs were performed on A100s:
2e22 FLOP / (3.9e13 FLOP/GPU-sec) * 1/0.3 efficiency * 1/3600 hour/sec * $0.93/GPU-hour = $441,595

Assume each stage is roughly half the total compute, so:
(240741+441595)/2 = $341,168",Industry,"The genome is a sequence that completely encodes the DNA, RNA, and proteins that orchestrate the function of a whole organism. Advances in machine learning combined with massive datasets of whole genomes could enable a biological foundation model that accelerates the mechanistic understanding and generative design of complex molecular interactions. We report Evo, a genomic foundation model that enables prediction and generation tasks from the molecular to genome scale. Using an architecture based on advances in deep signal processing, we scale Evo to 7 billion parameters with a context length of 131 kilobases (kb) at single-nucleotide, byte resolution. Trained on whole prokaryotic genomes, Evo can generalize across the three fundamental modalities of the central dogma of molecular biology to perform zero-shot function prediction that is competitive with, or outperforms, leading domain-specific language models. Evo also excels at multielement generation tasks, which we demonstrate by generating synthetic CRISPR-Cas molecular complexes and entire transposable systems for the first time. Using information learned over whole genomes, Evo can also predict gene essentiality at nucleotide resolution and can generate coding-rich sequences up to 650 kb in length, orders of magnitude longer than previous methods. Advances in multi-modal and multi-scale learning with Evo provides a promising path toward improving our understanding and control of biology across multiple levels of complexity.",Open weights (unrestricted),,Confident,"United States of America,United States of America,United States of America",,,,,,"Academia,Academia,Industry",,Apache License 2.0,"Academia,Academia,Industry",,,,Reported
TAPE Transformer,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","University of California (UC) Berkeley,Covariant,Google,Chan Zuckerberg Initiative","Roshan Rao, Nicholas Bhattacharya, Neil Thomas, Yan Duan, Xi Chen, John Canny, Pieter Abbeel, Yun S. Song",2019-06-19,Evaluating Protein Transfer Learning with TAPE,https://arxiv.org/abs/1906.08230,697.00,,,38000000.00,"""We use a 12-layer Transformer with a hidden size of 512 units and 8 attention heads, leading to a 38M-parameter model""",30000000000000000000.00,"""All self-supervised models are trained on four NVIDIA V100 GPUs for one week""

(7 * 24 * 3600) s * 4 GPUs * 3.1e13 FLOP/s * 0.4 (utilization assumption) = 3e19",Pfam,"""We use Pfam [33], a database of thirty-one million protein domains used extensively in bioinformatics, as the pretraining corpus for TAPE""",9660000001,"N = 32.2 million sequences
L = 300 residues per sequence
Total datapoints = N × L = 32,200,000 × 300 = 9.66e9 residues",,168.0,,NVIDIA V100,4,,,"Protein modeling is an increasingly popular area of machine learning research. Semi-supervised learning has emerged as an important paradigm in protein modeling due to the high cost of acquiring supervised protein labels, but the current literature is fragmented when it comes to datasets and standardized evaluation techniques. To facilitate progress in this field, we introduce the Tasks Assessing Protein Embeddings (TAPE), a set of five biologically relevant semi-supervised learning tasks spread across different domains of protein biology. We curate tasks into specific training, validation, and test splits to ensure that each task tests biologically relevant generalization that transfers to real-life scenarios. We benchmark a range of approaches to semi-supervised protein representation learning, which span recent work as well as canonical sequence learning techniques. We find that self-supervised pretraining is helpful for almost all models on all tasks, more than doubling performance in some cases. Despite this increase, in several cases features learned by self-supervised pretraining still lag behind features extracted by state-of-the-art non-neural techniques. This gap in performance suggests a huge opportunity for innovative architecture design and improved modeling paradigms that better capture the signal in biological sequences. TAPE will help the machine learning community focus effort on scientifically relevant problems. Toward this end, all data and code used to run these experiments are available at https://github.com/songlab-cal/tape.",Open weights (unrestricted),,Confident,"United States of America,United States of America,United States of America,United States of America",,,,,,"Academia,Industry,Industry,Research collective",Open source,"BSD license. code, data, and weights:
https://github.com/songlab-cal/tape?tab=readme-ov-file#data","Academia,Industry,Industry,Research collective",,,2695.9079931482615,Hardware
Hopfield Networks (2020),"Biology,Vision,Language,Medicine","Drug discovery,Language modeling,Object recognition","Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo","Hubert Ramsauer, Bernhard Schäfl, Johannes Lehner, Philipp Seidl, Michael Widrich, Thomas Adler, Lukas Gruber, Markus Holzleitner, Milena Pavlović, Geir Kjetil Sandve, Victor Greiff, David Kreil, Michael Kopp, Günter Klambauer, Johannes Brandstetter, Sepp Hochreiter",2020-07-16,Hopfield Networks is All You Need,https://arxiv.org/abs/2008.02217,345.00,SOTA improvement,"""Hopfield layers yielded a new state-ofthe-art when compared to different machine learning methods. Finally, Hopfield
layers achieved state-of-the-art on two drug design datasets""",,,,,"BACE,SIDER","""We test the Hopfield layer HopfieldLayer, on four drug
design datasets. These datasets represent four main areas of modeling tasks in drug design, concretely
to develop accurate models for predicting a) new anti-virals (HIV) by the Drug Therapeutics Program
(DTP) AIDS Antiviral Screen, b) new protein inhibitors, concretely human β-secretase (BACE) inhibitors by Subramanian et al. (2016), c) metabolic effects as blood-brain barrier permeability (BBBP)
(Martins et al., 2012) and d) side effects of a chemical compound from the Side Effect Resource
(SIDER) Kuhn et al. (2016). """,,,,,,,,,Academia,"We introduce a modern Hopfield network with continuous states and a corresponding update rule. The new Hopfield network can store exponentially (with the dimension of the associative space) many patterns, retrieves the pattern with one update, and has exponentially small retrieval errors. It has three types of energy minima (fixed points of the update): (1) global fixed point averaging over all patterns, (2) metastable states averaging over a subset of patterns, and (3) fixed points which store a single pattern. The new update rule is equivalent to the attention mechanism used in transformers. This equivalence enables a characterization of the heads of transformer models. These heads perform in the first layers preferably global averaging and in higher layers partial averaging via metastable states. The new modern Hopfield network can be integrated into deep learning architectures as layers to allow the storage of and access to raw input data, intermediate results, or learned prototypes. These Hopfield layers enable new ways of deep learning, beyond fully-connected, convolutional, or recurrent networks, and provide pooling, memory, association, and attention mechanisms. We demonstrate the broad applicability of the Hopfield layers across various domains. Hopfield layers improved state-of-the-art on three out of four considered multiple instance learning problems as well as on immune repertoire classification with several hundreds of thousands of instances. On the UCI benchmark collections of small classification tasks, where deep learning methods typically struggle, Hopfield layers yielded a new state-of-the-art when compared to different machine learning methods. Finally, Hopfield layers achieved state-of-the-art on two drug design datasets. The implementation is available at: this https URL",Open weights (unrestricted),,Unknown,"Austria,Austria,Norway",,,,,,"Academia,Academia,Academia",Unreleased,"copyleft-like license, derivative works must retain this license. code here:
https://github.com/ml-jku/hopfield-layers/blob/master/LICENSE","Academia,Academia,Academia",,,,
Fold2Seq,Biology,"Proteins,Protein generation,Protein inverse folding","IBM,Texas A&M","Yue Cao, Payel Das, Vijil Chenthamarakshan, Pin-Yu Chen, Igor Melnyk, Yang Shen",2021-06-24,Fold2Seq: A Joint Sequence(1D)-Fold(3D) Embedding-based Generative Model for Protein Design,https://arxiv.org/abs/2106.13058,44.00,SOTA improvement,"""On test sets with single, high-resolution and complete structure inputs for individual folds, our experiments demonstrate improved or comparable performance of Fold2Seq in terms of speed, coverage, and reliability for sequence design, when compared to existing state-of-the-art methods that include data-driven deep generative models and physics-based RosettaDesign."" [Abstract]",12427904.00,"Three components, a sequence encoder, fold encoder, and sequence decoder. (1) and (3) have similar architectures, a sequence embedder + transformer block (the encoder uses a transformer encoder, the decoder uses a decoder block). 

The fold encoder adds 6 residual conv blocks and has a 3d positional encoder rather than sequence embedder. Each residual block has two 3D-convolutional layers (3×3×3) and batch normalization layers.

Each transformer block has 4 layers and d = 256 latent dimensions.

Calculations here: https://docs.google.com/document/d/1luTCTQLmfaBfmnjbsBpWuG51x_IwuiN7mqNoOXtoi8Y/edit?usp=sharing",140000000000000000.00,"""We train our model on 2 Tesla K80 GPUs, with batch size 128. In every training stage we train up to 200 epochs with an early stopping strategy based on the validation loss""
See calculations here: https://docs.google.com/document/d/1luTCTQLmfaBfmnjbsBpWuG51x_IwuiN7mqNoOXtoi8Y/edit?usp=sharing

Block 1:
CNN 1: 2*20*20*20*3*3*3*4*8=13824000
CNN 2: 2*20*20*20*3*3*3*8*8=27648000
Block 2:
CNN 1: 2*20*20*20*3*3*3*8*16=55296000
CNN 2: 2*20*20*20*3*3*3*16*16=110592000
Block 3:
CNN 1: 2*20*20*20*3*3*3*16*32=221184000
CNN 2: 2*20*20*20*3*3*3*32*32=442368000
Block 4:
CNN 1: 2*10*10*10*3*3*3*32*64=110592000
CNN 2: 2*10*10*10*3*3*3*64*64=221184000
Block 5:
CNN 1: 2*10*10*10*3*3*3*64*128=442368000
CNN 2: 2*10*10*10*3*3*3*128*128=884736000
Block 6:
CNN 1: 2*10*10*10*3*3*3*128*256=1769472000
CNN 2: 2*10*10*10*3*3*3*256*256=3538944000
CNN forward FLOP: 13824000+27648000+55296000+110592000+221184000+442368000+110592000+221184000+442368000+884736000+1769472000+3538944000=7838208000
Training FLOP: 45995*200*(3299020800+4074393600+7838208000)=1.4e17


Note I make several assumptions about the CNN architecture which could change this value.",CATH,"""We used protein structure data from CATH 4.2""",45995,"""Training set includes 45995 proteins belonging to a total of 971 folds""",200.00,,,NVIDIA Tesla K80,2,,,"Designing novel protein sequences for a desired 3D topological fold is a fundamental yet nontrivial task in protein engineering. Challenges exist due to the complex sequence–fold relationship, as well as the difficulties to capture the diversity of the sequences (therefore structures and functions) within a fold. To overcome these challenges, we propose Fold2Seq, a novel transformer-based
generative framework for designing protein sequences conditioned on a specific target fold. To model the complex sequence–structure relationship, Fold2Seq jointly learns a sequence embedding using a transformer and a fold embedding from the density of secondary structural elements in 3D voxels. On test sets with single, high-resolution and complete structure inputs for individual folds, our experiments demonstrate improved or comparable performance of Fold2Seq in terms of speed, coverage, and reliability for sequence design, when compared to existing state-of-the-art methods that include datadriven deep generative models and physics-based RosettaDesign. The unique advantages of foldbased Fold2Seq, in comparison to a structurebased deep model and RosettaDesign, become more evident on three additional real-world challenges originating from low-quality, incomplete, or ambiguous input structures. Source code and data are available at https://github.com/IBM/fold2seq.",,,Unverified,"United States of America,United States of America",,,,128,,"Industry,Academia",,,"Industry,Academia",,,1337.253704239513,Operation counting
